,Category,Title
153,Athletes,JRE MMA Show #51 – Deontay Wilder
154,Athletes,#1212 – David Goggins
155,Athletes,#1189 – Alex Honnold
156,Athletes,JRE MMA Show #47 – Tyson Fury
157,Athletes,#1120 – Ben Greenfield
158,Athletes,#1110 – Zach Bitter
159,Athletes,#1069 – Ben Greenfield
160,Athletes,#928 – Arian Foster
161,Athletes,#900 – Joseph Valtellini
162,Boxers,JRE MMA Show #80 – Evander Holyfield
163,Boxers,JRE MMA Show #78 – Andre Ward
164,Boxers,JRE MMA Show #76 – Terence Crawford
165,Boxers,JRE MMA Show #72 – Andy Ruiz
166,Boxers,#1260 – Lennox Lewis & Russell Peters
167,Boxers,#1227 – Mike Tyson
168,Boxers,JRE MMA Show #55 – Kelly Pavlik
169,Boxers,JRE MMA Show #51 – Deontay Wilder
170,Boxers,JRE MMA Show #47 – Tyson Fury
171,Kickboxers,#1497 – Joe Schilling
172,Kickboxers,#1417 – Kevin Ross
173,Kickboxers,JRE MMA Show #82 – Israel Adesanya
174,Kickboxers,JRE MMA Show #79 – Vinny Shoreman & Liam Harrison
175,Kickboxers,JRE MMA Show #77 – Cedric Doumbe
176,Kickboxers,JRE MMA Show #71 – Rico Verhoeven
177,Kickboxers,JRE MMA Show #13 – Rose Namajunas & Pat Barry
178,Kickboxers,#900 – Joseph Valtellini
179,Kickboxers,"#864 – Kevin Ross, Gaston Bolanos"
180,Mixed Martial Artists,#1503 – Josh Barnett
181,Mixed Martial Artists,#1497 – Joe Schilling
182,Mixed Martial Artists,JRE MMA Show #97 – Henry Cejudo
183,Mixed Martial Artists,JRE MMA #96 – Justin Gaethje & Trevor Wittman
184,Mixed Martial Artists,"Fight Companion – May 16, 2020"
185,Mixed Martial Artists,JRE MMA #95 – Brendan Schaub
186,Mixed Martial Artists,JRE MMA Show #94 – Brendan Schaub
187,Mixed Martial Artists,"Fight Companion – March 14, 2020"
188,Mixed Martial Artists,JRE MMA Show #93 – Alexander Volkanovski
189,Mixed Martial Artists,"Fight Companion – February 22, 2020"
190,Mixed Martial Artists,JRE MMA Show #92 – Angela Hill
191,Mixed Martial Artists,JRE MMA Show #90 – Rashad Evans
192,Mixed Martial Artists,JRE MMA Show #89 – Rafael Lovato Jr
193,Mixed Martial Artists,JRE MMA Show #88 – Frankie Edgar
194,Mixed Martial Artists,JRE MMA Show #87 – Kamaru Usman
195,Mixed Martial Artists,JRE MMA Show #86 – Josh Thomson
196,Mixed Martial Artists,"Fight Companion – January 9, 2020"
197,Mixed Martial Artists,JRE MMA Show #85 – Max Holloway
198,Mixed Martial Artists,#1393 – James Wilks & Chris Kresser – The Game Changers Debate
199,Mixed Martial Artists,JRE MMA Show #84 – Brendan Schaub
200,Mixed Martial Artists,JRE MMA Show #82 – Israel Adesanya
201,Mixed Martial Artists,#1374 – Justin Wren
202,Mixed Martial Artists,JRE MMA Show #81 – Dave Leduc
203,Mixed Martial Artists,Fight Companion – UFC 242
204,Mixed Martial Artists,JRE MMA Show #75 – Dan Hardy
205,Mixed Martial Artists,JRE MMA Show #74 – Brendan Schaub
206,Mixed Martial Artists,JRE MMA Show #70 – Aljamain Sterling
207,Mixed Martial Artists,#1304 – Brendan Schaub
208,Mixed Martial Artists,JRE MMA Show #65 – Corey Anderson
209,Mixed Martial Artists,JRE MMA Show #64 – Khalil Rountree Jr.
210,Mixed Martial Artists,"JRE MMA Show #60 – Forrest Griffin, Clint Wattenberg & Dr. Duncan French"
211,Mixed Martial Artists,Fight Companion – UFC on ESPN 1
212,Mixed Martial Artists,JRE MMA Show #50 – Yves Edwards
213,Mixed Martial Artists,Fight Companion – UFC Fight Night 141
214,Mixed Martial Artists,Fight Companion – UFC Fight Night 139
215,Mixed Martial Artists,JRE MMA Show #45 – Justin Wren & Rafael Lovato Jr.
216,Mixed Martial Artists,JRE MMA Show #43 – Brendan Schaub
217,Mixed Martial Artists,JRE MMA Show #36 – Brendan Schaub & Bryan Callen
218,Mixed Martial Artists,JRE MMA Show #34 – Josh Barnett
219,Mixed Martial Artists,#1132 – Kyle Kingsbury
220,Mixed Martial Artists,JRE MMA Show #30 – Sean O’Malley & Tim Welch
221,Mixed Martial Artists,Fight Companion – UFC Fight Night 130
222,Mixed Martial Artists,JRE MMA Show #28 – Georges St-Pierre
223,Mixed Martial Artists,JRE MMA Show #27 – Robin Black
224,Mixed Martial Artists,JRE MMA Show #25 – Michael Chandler
225,Mixed Martial Artists,JRE MMA Show #24 – Kevin Lee
226,Mixed Martial Artists,JRE MMA Show #22 – Bas Rutten
227,Mixed Martial Artists,JRE MMA Show #21 – Brendan Schaub
228,Mixed Martial Artists,JRE MMA Show #18 – Pat Miletich
229,Mixed Martial Artists,JRE MMA Show #14 – Matt Brown
230,Mixed Martial Artists,JRE MMA Show #13 – Rose Namajunas & Pat Barry
231,Mixed Martial Artists,JRE MMA Show #12 – Ben Askren
232,Mixed Martial Artists,JRE MMA Show #7 – Brendan Schaub & Bryan Callen
233,Mixed Martial Artists,JRE MMA Show #4 – Justin Wren
234,Mixed Martial Artists,#1012 – Brendan Schaub
235,Mixed Martial Artists,"#948 – Brendan Schaub, Eddie Bravo"
236,Mixed Martial Artists,#937 – Justin Wren
237,Mixed Martial Artists,#916 – Fight Recap
238,Mixed Martial Artists,"#890 – Fight Breakdown w/ Eddie Bravo, Brendan Schaub"
239,Mixed Martial Artists,"#864 – Kevin Ross, Gaston Bolanos"
240,Powerlifters,#1291 – C.T. Fletcher
241,Powerlifters,#1176 – Dom D’Agostino & Dr. Layne Norton
242,Powerlifters,#1101 – Chris & Mark Bell
243,Rock Climbers,#1189 – Alex Honnold
244,Strongmen,#1416 – Rob Kearney
245,Strongmen,#1321 – Robert Oberst
246,Surfers,#1301 – Laird Hamilton
247,Surfers,#1193 – Shane Dorian
248,Triathletes,#1235 – Ben Greenfield
249,Triathletes,#1212 – David Goggins
250,Triathletes,#1152 – John Joseph
251,Triathletes,#1120 – Ben Greenfield
252,Triathletes,#1069 – Ben Greenfield
